
python check_exposure_pixel.py nowt/

 ---------------------------
 All Targets 
 ---------------------------
nowt/
find ./nowt/ |grep 'fits' 
...check exposure time and pixel size of all files...
986
./nowt/20201015/BIAS/BIAS__20201016001446_0s_0786.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122224_0s_0028.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016000743_0s_0778.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122502_0s_0031.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122410_0s_0030.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001300_0s_0784.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001207_0s_0783.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001022_0s_0781.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001115_0s_0782.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122317_0s_0029.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122741_0s_0034.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122555_0s_0032.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122038_0s_0026.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016000836_0s_0779.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001539_0s_0787.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015121945_0s_0025.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201015122131_0s_0027.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
./nowt/20201015/BIAS/BIAS__20201016001353_0s_0785.fits 	 4160x4136 	 2048x2068 	 0S 	               BIAS
