ID	JD	filename	NoteIdx	Note
677	2459335	FU_Ori-20210430_112537-V_Astrodon_2018_calib.fits	2	outlier,badfit,Vmag=10.67,dV=0.19
674	2459335	FU_Ori-20210430_112337-V_Astrodon_2018_calib.fits	2	outlier,badfit,Vmag=10.39,dV=0.14
653	2459318	FU_Ori-20210413_113401-V_Astrodon_2018_calib.fits	2	badfit,bigerr,Vmag=9.88,dV=0.20
650	2459318	FU_Ori-20210413_113158-V_Astrodon_2018_calib.fits	2	badfit,bigerr,Vmag=10.19,dV=0.21
617	2459303	FU_Ori-20210329_123153-V_Astrodon_2018_calib.fits	2	faint,outlier,Vmag=9.54,dV=0.11
614	2459303	FU_Ori-20210329_122953-V_Astrodon_2018_calib.fits	2	faint,badfit,Vmag=10.35,dV=0.16
611	2459302	FU_Ori-20210328_123432-V_Astrodon_2018_calib.fits	2	faint,badfit,Vmag=10.29,dV=0.18
608	2459302	FU_Ori-20210328_123232-V_Astrodon_2018_calib.fits	2	faint,badfit,Vmag=10.06,dV=0.17
599	2459299	FU_Ori-20210325_132003-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=10.02,dV=0.08
596	2459299	FU_Ori-20210325_131803-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=10.06,dV=0.10
593	2459295	FU_Ori-20210321_140033-V_Astrodon_2018_calib.fits	2	moon,badfit,Vmag=9.99,dV=0.16
590	2459295	FU_Ori-20210321_135832-V_Astrodon_2018_calib.fits	2	moon,badfit,Vmag=9.88,dV=0.12
587	2459294	FU_Ori-20210320_132807-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=10.08,dV=0.07
521	2459277	FU_Ori-20210303_155134-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=10.35,dV=0.11
518	2459277	FU_Ori-20210303_154932-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=9.46,dV=0.10
503	2459273	FU_Ori-20210227_120754-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=9.42,dV=0.06
497	2459271	FU_Ori-20210225_140922-V_Astrodon_2018_calib.fits	2	outlier,faint,Vmag=9.41,dV=0.08
491	2459268	FU_Ori-20210222_143821-V_Astrodon_2018_calib.fits	2	moon,Vmag=9.84,dV=0.08
488	2459268	FU_Ori-20210222_143618-V_Astrodon_2018_calib.fits	2	moon,Vmag=9.96,dV=0.09
398	2459245	FU_Ori-20210130@153801-V_Astrodon_2018_calib.fits	4	outlier,badfit,V=10.31,dV=0.08
380	2459241	FU_Ori-20210126@155825-V_Astrodon_2018_calib.fits	2	moon,V=9.96,dV=0.08
281	2459215	FU_Ori-20201231@172836-V_Astrodon_2018_calib.fits	2	outlier,V=10.05,dV=0.06
275	2459213	FU_Ori-20201229@194448-V_Astrodon_2018_calib.fits	2	moon,bigerror
272	2459213	FU_Ori-20201229@194256-V_Astrodon_2018_calib.fits	2	moon,bigerror
269	2459213	FU_Ori-20201229@155648-V_Astrodon_2018_calib.fits	2	moon,bigerror
266	2459213	FU_Ori-20201229@155457-V_Astrodon_2018_calib.fits	2	moon,bigerror
221	2459190	FU_Ori-20201206@192910-V_Astrodon_2018_calib.fits	2	badfit,bigerror,Vmag=10.06,dV=0.15
218	2459190	FU_Ori-20201206@192718-V_Astrodon_2018_calib.fits	2	badfit,bigerror,Vmag=10.04,dV=0.15
209	2459184	FU_Ori-20201130@172204-V_Astrodon_2018_calib.fits	2	moon,bigerror
206	2459184	FU_Ori-20201130@172011-V_Astrodon_2018_calib.fits	2	moon,bigerror
137	2459158	FU_Ori-20201104@150232-V_Astrodon_2018_calib.fits	2	faint,outlier,Vmag=9.66,dV=0.10
134	2459158	FU_Ori-20201104@150039-V_Astrodon_2018_calib.fits	2	faint,outlier,Vmag=9.73,dV=0.10
131	2459157	FU_Ori-20201103@172457-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=10.39,dV=0.17
128	2459157	FU_Ori-20201103@172257-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=9.82,dV=0.15
122	2459156	FU_Ori-20201102@201641-V_Astrodon_2018_calib.fits	2	outlier,fiant,Vmag=9.60,dV=0.06
107	2459151	FU_Ori-20201028@182927-V_Astrodon_2018_calib.fits	2	outlier,fiant,Vmag=10.16,dV=0.06
101	2459150	FU_Ori-20201027@165822-V_Astrodon_2018_calib.fits	4	outlier,fiant,Vmag=10.07,dV=0.06
29	2459132	FU_Ori-20201009@182844-V_Astrodon_2018_calib.fits	2	outlier,Vmag=9.59,dV=0.08
17	2459130	FU_Ori-20201007@185621-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=10.23,dV=0.11
14	2459130	FU_Ori-20201007@185430-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=10.27,dV=0.11
11	2459129	FU_Ori-20201006@185413-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=10.10,dV=0.06
8	2459129	FU_Ori-20201006@185206-V_Astrodon_2018_calib.fits	2	outlier,moon,Vmag=10.11,dV=0.09

676	2459335	FU_Ori-20210430_112438-B_Astrodon_2018_calib.fits	2	faint,badfit,Bmag=11.19,dB=0.25
673	2459335	FU_Ori-20210430_112234-B_Astrodon_2018_calib.fits	2	outlier,faint,Bmag=11.87,dB=0.27
652	2459318	FU_Ori-20210413_113302-B_Astrodon_2018_calib.fits	2	badfit,Bmag=11.29,dB=0.18
649	2459318	FU_Ori-20210413_113053-B_Astrodon_2018_calib.fits	2	badfit,Bmag=11.41,dB=0.20
640	2459312	FU_Ori-20210407_124930-B_Astrodon_2018_calib.fits	2	badfit,Bmag=11.19,dB=0.17
616	2459303	FU_Ori-20210329_123054-B_Astrodon_2018_calib.fits	2	outlier,faint,Bmag=9.97,dB=0.43
613	2459303	FU_Ori-20210329_122850-B_Astrodon_2018_calib.fits	2	outlier,faint,bigerror,Bmag=12.20,dB=0.48
