ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2021-02-01|17:07:07|SLT|FU_Ori-20210201@170653-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|982.4063|1051.0423|B_Astrodon_2018|2459247.213275463|30.0|19.0836|3.0930|27.8929|2.1196
2|2021-02-01|17:08:02|SLT|FU_Ori-20210201@170756-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|982.3662|1051.6362|V_Astrodon_2018|2459247.213912037|10.0|20.4774|2.5244|27.6823|2.1286
3|2021-02-01|17:08:34|SLT|FU_Ori-20210201@170830-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|982.4525|1051.2418|R_Astrodon_2018|2459247.2142824074|5.0|21.2951|2.3379|27.5597|2.1361
4|2021-02-01|17:09:11|SLT|FU_Ori-20210201@170900-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|983.4292|1049.8589|B_Astrodon_2018|2459247.214710648|30.0|19.0357|2.9627|27.4180|2.1527
5|2021-02-01|17:10:05|SLT|FU_Ori-20210201@171000-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|983.3668|1050.9555|V_Astrodon_2018|2459247.215335648|10.0|20.4499|2.6205|27.2111|2.1619
6|2021-02-01|17:10:37|SLT|FU_Ori-20210201@171034-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|982.9731|1050.9173|R_Astrodon_2018|2459247.2157060187|5.0|21.3005|2.2822|27.0885|2.1698
7|2021-02-02|15:46:22|SLT|FU_Ori-20210202@154608-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|853.6655|1146.1542|B_Astrodon_2018|2459248.157199074|30.0|19.3031|2.4488|45.4280|1.3983
8|2021-02-02|15:47:16|SLT|FU_Ori-20210202@154711-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|852.9284|1146.1208|V_Astrodon_2018|2459248.157824074|10.0|20.4087|3.0539|45.2251|1.4012
9|2021-02-02|15:47:48|SLT|FU_Ori-20210202@154744-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|853.3915|1146.7158|R_Astrodon_2018|2459248.1581944446|5.0|21.3231|2.4185|45.1047|1.4037
10|2021-02-02|15:48:24|SLT|FU_Ori-20210202@154812-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|854.0446|1145.1562|B_Astrodon_2018|2459248.1586111113|30.0|19.2567|2.6090|44.9693|1.4093
11|2021-02-02|15:49:18|SLT|FU_Ori-20210202@154912-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|853.3809|1145.6770|V_Astrodon_2018|2459248.159236111|10.0|20.4532|3.0174|44.7661|1.4124
12|2021-02-02|15:49:50|SLT|FU_Ori-20210202@154946-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|853.5591|1145.7792|R_Astrodon_2018|2459248.1596064814|5.0|21.2877|2.5936|44.6457|1.4149
13|2021-02-03|15:02:47|SLT|FU_Ori-20210203@150233-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|956.0845|998.7755|B_Astrodon_2018|2459249.1269328706|30.0|19.3311|2.6415|54.2515|1.2295
14|2021-02-03|15:03:41|SLT|FU_Ori-20210203@150336-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|955.8075|998.2142|V_Astrodon_2018|2459249.1275578705|10.0|20.5641|2.3709|54.0546|1.2314
15|2021-02-03|15:04:13|SLT|FU_Ori-20210203@150409-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|955.2134|998.7347|R_Astrodon_2018|2459249.1279282407|5.0|21.3256|2.2893|53.9378|1.2329
16|2021-02-03|15:04:49|SLT|FU_Ori-20210203@150437-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|955.6856|997.6509|B_Astrodon_2018|2459249.1283449074|30.0|19.3493|2.6441|53.8063|1.2364
17|2021-02-03|15:05:43|SLT|FU_Ori-20210203@150538-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|955.6758|997.9071|V_Astrodon_2018|2459249.1289699073|10.0|20.5428|2.5041|53.6090|1.2383
18|2021-02-03|15:06:15|SLT|FU_Ori-20210203@150611-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|955.2509|997.7092|R_Astrodon_2018|2459249.129340278|5.0|21.3436|2.2329|53.4919|1.2399
19|2021-02-05|13:16:44|SLT|FU_Ori-20210205@131630-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1031.1895|1041.5697|B_Astrodon_2018|2459251.053287037|30.0|19.5283|2.6964|72.9073|1.0457
20|2021-02-05|13:17:39|SLT|FU_Ori-20210205@131734-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1030.7873|1041.9453|V_Astrodon_2018|2459251.053923611|10.0|20.5987|3.3385|72.7879|1.0461
21|2021-02-05|13:18:11|SLT|FU_Ori-20210205@131808-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1030.6093|1042.9670|R_Astrodon_2018|2459251.0542939813|5.0|21.4594|2.1316|72.7175|1.0464
22|2021-02-05|13:18:48|SLT|FU_Ori-20210205@131836-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1030.7730|1042.5279|B_Astrodon_2018|2459251.054722222|30.0|19.5642|2.2836|72.6353|1.0472
23|2021-02-05|13:19:42|SLT|FU_Ori-20210205@131937-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1029.9917|1042.7455|V_Astrodon_2018|2459251.0553472224|10.0|20.6711|2.6696|72.5138|1.0476
24|2021-02-05|13:20:24|SLT|FU_Ori-20210205@132020-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1029.8979|1041.8520|R_Astrodon_2018|2459251.055833333|5.0|21.4188|2.3799|72.4180|1.0481
25|2021-02-06|13:52:20|SLT|FU_Ori-20210206@135206-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1042.0751|1028.6514|B_Astrodon_2018|2459252.0780092594|30.0|19.5538|2.6331|66.4103|1.0901
26|2021-02-06|13:53:15|SLT|FU_Ori-20210206@135309-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1041.4772|1029.7286|V_Astrodon_2018|2459252.0786458333|10.0|20.7447|2.1830|66.2359|1.0910
27|2021-02-06|13:53:48|SLT|FU_Ori-20210206@135344-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1041.4089|1029.5332|R_Astrodon_2018|2459252.079027778|5.0|21.4460|2.2735|66.1310|1.0917
