ID|DateObs|TimeObs|Telescope|Filename|Object|RA_hhmmss|DEC_ddmmss|RA_deg|DEC_deg|RA_pix|Dec_pix|FilterName|JD|ExpTime_sec|Zmag|FWHM|Altitude|Airmass
1|2020-10-05|17:37:49|SLT|FU_Ori-20201005@173735-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.4882|925.738|B_Astrodon_2018|2459128.234594908|10.0|19.3079|2.3183|43.6468|1.4521
2|2020-10-05|17:38:20|SLT|FU_Ori-20201005@173815-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.5282|925.8472|V_Astrodon_2018|2459128.2349537043|5.0|20.3908|2.4167|43.7637|1.4496
3|2020-10-05|17:38:45|SLT|FU_Ori-20201005@173840-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|916.7963|925.8444|R_Astrodon_2018|2459128.2352430555|5.0|21.2217|2.2276|43.858|1.4471
4|2020-10-05|17:48:36|SLT|FU_Ori-20201005@174822-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.0543|1023.1414|B_Astrodon_2018|2459128.242083333|30.0|19.1978|2.5855|46.0813|1.391
5|2020-10-05|17:49:27|SLT|FU_Ori-20201005@174922-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.2213|1023.8594|V_Astrodon_2018|2459128.2426736117|15.0|20.4446|2.3276|46.2726|1.3878
6|2020-10-05|17:50:02|SLT|FU_Ori-20201005@174958-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1024.6388|1023.7068|R_Astrodon_2018|2459128.2430787035|15.0|21.2771|2.121|46.4039|1.3849
7|2020-10-06|18:51:40|SLT|FU_Ori-20201006@185127-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.3035|1023.8521|B_Astrodon_2018|2459129.2858796297|10.0|19.3915|2.0182|60.7263|1.1485
8|2020-10-06|18:52:11|SLT|FU_Ori-20201006@185206-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.0454|1024.6823|V_Astrodon_2018|2459129.286238426|5.0|20.4522|2.19|60.8339|1.1475
9|2020-10-06|18:52:35|SLT|FU_Ori-20201006@185231-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.1894|1024.9526|R_Astrodon_2018|2459129.2865162035|5.0|21.2705|1.9383|60.9171|1.1465
10|2020-10-06|18:53:20|SLT|FU_Ori-20201006@185308-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1310.4415|1104.4355|B_Astrodon_2018|2459129.287037037|20.0|19.1231|2.4363|61.0729|1.1437
11|2020-10-06|18:54:18|SLT|FU_Ori-20201006@185413-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|925.7979|1034.4716|V_Astrodon_2018|2459129.287708333|10.0|20.5099|2.243|61.2733|1.1424
12|2020-10-06|18:54:47|SLT|FU_Ori-20201006@185443-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|925.8562|1034.8754|R_Astrodon_2018|2459129.2880439814|10.0|21.2797|2.0657|61.3734|1.1413
13|2020-10-07|18:53:45|SLT|FU_Ori-20201007@185330-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1020.9823|1022.791|B_Astrodon_2018|2459130.287326389|30.0|19.2544|2.8368|61.9708|1.1334
14|2020-10-07|18:54:35|SLT|FU_Ori-20201007@185430-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1021.0248|1023.4632|V_Astrodon_2018|2459130.2879050933|10.0|20.529|2.1287|62.1418|1.1323
15|2020-10-07|18:55:04|SLT|FU_Ori-20201007@185500-R_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1020.5189|1023.905|R_Astrodon_2018|2459130.2882407405|5.0|21.2089|2.4325|62.2408|1.1314
16|2020-10-07|18:55:37|SLT|FU_Ori-20201007@185525-B_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1020.6635|1023.4938|B_Astrodon_2018|2459130.288622685|30.0|19.2939|2.6787|62.3532|1.1294
17|2020-10-07|18:56:27|SLT|FU_Ori-20201007@185621-V_Astrodon_2018_calib.fits|FU_Ori|05 45 21.91|+09 04 11.0|86.3413|9.0697|1020.6144|1024.0917|V_Astrodon_2018|2459130.289201389|10.0|20.5323|2.018|62.5233|1.1283
